Instance;Model_LB;Model_UB;Literature_LB;Literature_UB;Solve_time;Error_Cause
a05100;1697,9999999999964;1697,9999999999964;1698,0;1698,0;93,935;
a05200;-Inf;Inf;3235,0;3235,0;810,807;
a10100;-1,0;-1,0;1360,0;1360,0;-1,0;reducing over an empty collection is not allowed
a10200;2620,778630776666;2646,0;2623,0;2623,0;349,11;
a20100;-1,0;-1,0;1158,0;1158,0;-1,0;reducing over an empty collection is not allowed
a20200;-1,0;-1,0;2339,0;2339,0;-1,0;reducing over an empty collection is not allowed
b05100;1838,8372092723253;1871,0;1843,0;1843,0;104,433;
b05200;-Inf;Inf;3552,0;3552,0;826,633;
b10100;1406,9999999999995;1406,9999999999995;1407,0;1407,0;27,782;
b10200;2825,5093749900025;2835,0;2827,0;2827,0;306,683;
b20100;1166,0;1166,0;1166,0;1166,0;6,25;
b20200;-1,0;-1,0;2339,0;2339,0;-1,0;reducing over an empty collection is not allowed
c05100;1929,6666666066662;1933,0;1931,0;1931,0;48,475;
c0515_1;260,5;261,0;261,0;261,0;0,638;
c0515_2;269,0;269,0;269,0;269,0;0,303;
c0515_3;256,0;256,0;256,0;256,0;0,243;
c0515_4;274,0;274,0;274,0;274,0;0,258;
c0515_5;251,0;251,0;251,0;251,0;0,37;
c05200;-Inf;Inf;3456,0;3456,0;1006,375;
c0520_1;277,0;277,0;277,0;277,0;0,506;
c0520_2;268,0;269,0;269,0;269,0;0,776;
c0520_3;260,0;260,0;260,0;260,0;0,486;
c0520_4;267,25;269,9999992991338;269,0;269,0;0,663;
c0520_5;267,0;267,0;267,0;267,0;0,622;
c0525_1;438,0;438,0;438,0;438,0;0,851;
c0525_2;415,0;415,0;415,0;415,0;0,792;
c0525_3;445,66666665666656;446,0;446,0;446,0;1,01;
c0525_4;429,25;430,0;430,0;430,0;1,05;
c0525_5;411,0;411,0;411,0;411,0;0,809;
c0530_1;423,0;423,0;423,0;423,0;0,952;
c0530_2;424,0;424,0;424,0;424,0;1,236;
c0530_3;425,5;429,0;426,0;426,0;1,642;
c0530_4;395,0;395,0;395,0;395,0;1,145;
c0530_5;404,5;408,0;406,0;406,0;1,471;
c0824_1;403,0;403,0;403,0;403,0;0,792;
c0824_2;389,0;389,0;389,0;389,0;0,575;
c0824_3;383,0;383,0;383,0;383,0;0,662;
c0824_4;384,0;384,0;384,0;384,0;0,732;
c0824_5;395,6666666766667;396,0;396,0;396,0;0,803;
c0832_1;525,0;525,0;525,0;525,0;0,887;
c0832_2;527,0;527,0;527,0;527,0;1,077;
c0832_3;518,6666666866666;521,0;519,0;519,0;1,286;
c0832_4;515,5;516,0;516,0;516,0;1,124;
c0832_5;521,0;521,0;521,0;521,0;1,012;
c0840_1;646,0;646,0;646,0;646,0;1,413;
c0840_2;661,7142857742857;662,0;662,0;662,0;1,567;
c0840_3;661,6666666666665;665,0;662,0;662,0;1,977;
c0840_4;645,0;645,0;645,0;645,0;1,473;
c0840_5;647,909090929091;649,0;649,0;649,0;2,255;
c0848_1;796,5999999999997;798,0;797,0;797,0;2,825;
c0848_2;782,5000000499998;783,0;783,0;783,0;3,31;
c0848_3;799,9999999999998;819,0;800,0;800,0;3,154;
c0848_4;788,4999999999999;789,0;789,0;789,0;4,005;
c0848_5;792,0;792,0;792,0;792,0;1,983;
c10100;1399,8571428171424;1404,0;1402,0;1402,0;17,874;
c10200;2803,94930877576;2841,0;2806,0;2806,0;1085,436;
c1030_1;482,0;482,0;482,0;482,0;0,934;
c1030_2;476,0;477,0;476,0;476,0;1,34;
c1030_3;495,71428571428555;496,0;496,0;496,0;1,148;
c1030_4;495,85;497,0;497,0;497,0;1,17;
c1030_5;487,3333332833334;489,0;488,0;488,0;0,958;
c10400;-Inf;Inf;5597,0;5597,0;900,704;
c1040_1;637,6666666966667;638,0;638,0;638,0;2,99;
c1040_2;638,0;638,0;638,0;638,0;1,969;
c1040_3;653,1666666066668;654,0;654,0;654,0;2,896;
c1040_4;635,0;635,0;635,0;635,0;2,115;
c1040_5;638,4999999999999;644,0;639,0;639,0;2,72;
c1050_1;573,0;573,0;573,0;573,0;3,856;
c1050_2;582,3333333733334;583,0;583,0;583,0;4,983;
c1050_3;589,0;589,0;589,0;589,0;3,352;
c1050_4;577,00000005;578,0;578,0;578,0;4,385;
c1050_5;-1,0;-1,0;581,0;581,0;-1,0;reducing over an empty collection is not allowed
c1060_1;973,4642856742861;974,0;974,0;974,0;6,596;
c1060_2;956,0;956,0;956,0;956,0;4,684;
c1060_3;940,6666667766668;941,0;941,0;941,0;5,519;
c1060_4;952,8888888688883;955,0;954,0;954,0;6,665;
c1060_5;944,2499999999998;945,9999995964529;945,0;945,0;6,206;
c15900;-Inf;Inf;11340,0;11340,0;904,322;
c20100;1241,6666667066672;1243,0;1243,0;1243,0;11,06;
c201600;-Inf;Inf;18802,0;18802,0;1192,29;
c20200;2390,171034562757;2391,0;2391,0;2391,0;82,185;
c20400;-Inf;Inf;4782,0;4782,0;900,974;
c30900;-Inf;Inf;9982,0;9982,0;900,627;
c401600;-Inf;Inf;17144,0;17145,0;302,562;
c40400;4243,449007889385;4247,0;4244,0;4244,0;1021,001;
c60900;-Inf;Inf;9325,0;9327,0;904,759;
c801600;-Inf;Inf;16284,0;16285,0;302,893;
d05100;6349,921173539559;6570,0;6353,0;6353,0;292,012;
d05200;-Inf;Inf;12742,0;12742,0;791,026;
d10100;6341,449876277626;6767,0;6345,0;6348,0;1321,126;
d10200;12741,0;12741,0;12426,0;12432,0;743,543;
d10400;-Inf;Inf;24959,0;24963,0;900,84;
d15900;-Inf;Inf;55403,0;55409,0;906,073;
d20100;6808,0;6808,0;6177,0;6190,0;610,039;
d201600;-Inf;Inf;97823,0;97832,0;300,64;
d20200;-Inf;Inf;12230,0;12241,0;648,043;
d20400;-Inf;Inf;24561,0;24574,0;900,312;
d30900;-Inf;Inf;54833,0;54852,0;906,004;
d401600;-Inf;Inf;97105,0;97105,0;302,528;
d40400;-Inf;Inf;24350,0;24392,0;824,426;
d60900;-Inf;Inf;54551,0;54568,0;912,113;
d801600;-Inf;Inf;97034,0;97035,0;302,121;
e05100;12673,046948306801;12922,0;12681,0;12681,0;125,297;
e05200;-Inf;Inf;24929,0;24930,0;782,849;
e10100;11568,022520978398;12058,0;11576,0;11577,0;241,116;
e10200;23541,0;23541,0;23305,0;23307,0;783,723;
e10400;-Inf;Inf;45745,0;45746,0;900,707;
e15900;-Inf;Inf;102420,0;102421,0;300,359;
e20100;8666,0;8666,0;8436,0;8436,0;613,268;
e201600;-Inf;Inf;180644,0;180646,0;302,037;
e20200;-Inf;Inf;22378,0;22379,0;655,717;
e20400;-Inf;Inf;44876,0;44877,0;900,523;
e30900;-Inf;Inf;100426,0;100429,0;301,703;
e401600;-Inf;Inf;178293,0;178294,0;302,104;
e40400;-Inf;Inf;44560,0;44562,0;841,713;
e60900;-Inf;Inf;100147,0;100153,0;532,499;
e801600;-Inf;Inf;176816,0;176826,0;300,45;
